Date,L Income,L 2020,L 2030,L 2040,L 2050,G Fund,F Fund,C Fund,S Fund,I Fund
2019-01-02 0:00:00,19.6889,26.7883,29.618,31.8164,18.2119,15.9949,18.1687,35.9983,43.9762,26.5338
2019-01-03 0:00:00,19.6271,26.6553,29.3183,31.4315,17.9603,15.9961,18.2683,35.1161,43.2176,26.4053
2019-01-04 0:00:00,19.7511,26.9151,29.8906,32.1665,18.441,15.9973,18.1837,36.322,44.7812,27.1899
2019-01-07 0:00:00,19.7808,26.971,30.0121,32.3227,18.5436,16.0009,18.1788,36.5768,45.5472,27.2332
2019-01-08 0:00:00,19.817,27.0415,30.1738,32.5311,18.6806,16.0021,18.1561,36.932,46.2188,27.388
2019-01-09 0:00:00,19.8508,27.1066,30.321,32.7207,18.805,16.0033,18.1562,37.095,46.6288,27.7435
2019-01-10 0:00:00,19.8655,27.135,30.3851,32.8031,18.859,16.0045,18.1457,37.2626,46.8996,27.7763
2019-01-11 0:00:00,19.8683,27.1385,30.388,32.8062,18.8607,16.0057,18.1767,37.2572,46.9537,27.763
2019-01-14 0:00:00,19.8503,27.1011,30.2959,32.6858,18.781,16.0093,18.1661,37.0654,46.5818,27.6554
2019-01-15 0:00:00,19.8835,27.1651,30.4403,32.871,18.9019,16.0105,18.1667,37.4633,46.9927,27.75
2019-01-16 0:00:00,19.8918,27.1808,30.4754,32.9167,18.9323,16.0117,18.1608,37.5476,47.3145,27.7327
2019-01-17 0:00:00,19.9197,27.2346,30.5976,33.074,19.0354,16.0129,18.1567,37.8365,47.7229,27.8525
2019-01-18 0:00:00,19.9649,27.3225,30.7988,33.3329,19.2048,16.0141,18.1417,38.3365,48.2715,28.0609
2019-01-22 0:00:00,19.9262,27.2419,30.5985,33.0714,19.0318,16.0189,18.1906,37.7951,47.5084,27.9154
2019-01-23 0:00:00,19.9282,27.2453,30.6047,33.0785,19.0358,16.0201,18.1779,37.8783,47.4112,27.8808
2019-01-24 0:00:00,19.9406,27.2674,30.6499,33.1367,19.074,16.0213,18.222,37.9309,47.7512,27.9131
2019-01-25 0:00:00,19.9798,27.3442,30.8285,33.3679,19.2265,16.0225,18.195,38.2549,48.3991,28.1953
2019-01-28 0:00:00,19.9582,27.2992,30.7171,33.2233,19.1315,16.0261,18.2073,37.9545,48.1956,28.0657
2019-01-29 0:00:00,19.9618,27.3042,30.723,33.2298,19.1351,16.0273,18.2407,37.9001,48.1085,28.15
2019-01-30 0:00:00,20.0189,27.4141,30.9715,33.5491,19.3435,16.0285,18.2639,38.4938,48.6695,28.4448
2019-01-31 0:00:00,20.0501,27.4717,31.0951,33.7069,19.4459,16.0297,18.3361,38.8329,49.0959,28.4759
2019-02-01 0:00:00,20.0521,27.4765,31.1092,33.7261,19.4595,16.0308,18.2912,38.8727,49.3245,28.46
2019-02-04 0:00:00,20.072,27.5139,31.1919,33.8325,19.5295,16.0343,18.271,39.1365,49.7821,28.4318
2019-02-05 0:00:00,20.1019,27.5704,31.3174,33.9937,19.6347,16.0354,18.3047,39.3208,49.9517,28.7218
2019-02-06 0:00:00,20.0953,27.5565,31.2826,33.9483,19.6046,16.0366,18.3074,39.2374,49.8592,28.676
2019-02-07 0:00:00,20.0587,27.483,31.1059,33.7189,19.4534,16.0377,18.3426,38.8759,49.5303,28.3441
2019-02-08 0:00:00,20.0498,27.4643,31.0583,33.6565,19.4119,16.0388,18.361,38.915,49.5913,28.0681
2019-02-11 0:00:00,20.0574,27.4776,31.0856,33.6917,19.4356,16.0423,18.3396,38.9431,49.8777,28.091
2019-02-12 0:00:00,20.1055,27.5713,31.3021,33.9714,19.6193,16.0434,18.3259,39.448,50.4809,28.3576
2019-02-13 0:00:00,20.122,27.6034,31.3763,34.0671,19.6822,16.0445,18.3078,39.5699,50.6216,28.5225
2019-02-14 0:00:00,20.1177,27.593,31.3468,34.0284,19.6565,16.0456,18.3441,39.4787,50.6457,28.4633
2019-02-15 0:00:00,20.1686,27.6921,31.5762,34.3255,19.8521,16.0467,18.343,39.9115,51.2702,28.856
2019-02-19 0:00:00,20.1823,27.715,31.618,34.3775,19.8854,16.0514,18.3688,39.9739,51.3814,28.9196
2019-02-20 0:00:00,20.1976,27.7444,31.6853,34.4645,19.9426,16.0525,18.3624,40.053,51.4811,29.1064
2019-02-21 0:00:00,20.185,27.72,31.6296,34.3924,19.8953,16.0536,18.3258,39.9147,51.2724,29.0733
2019-02-22 0:00:00,20.2091,27.7654,31.7307,34.5231,19.9813,16.0547,18.3623,40.1717,51.7574,29.1096
2019-02-25 0:00:00,20.2211,27.7867,31.7745,34.5785,20.0173,16.0582,18.3542,40.227,51.792,29.229
2019-02-26 0:00:00,20.2218,27.7861,31.7667,34.5666,20.008,16.0593,18.3851,40.1951,51.5001,29.2764
2019-02-27 0:00:00,20.2211,27.7858,31.7697,34.5717,20.0126,16.0605,18.3367,40.1799,51.7294,29.2745
2019-02-28 0:00:00,20.2103,27.7642,31.7178,34.5038,19.9677,16.0616,18.3244,40.0779,51.5392,29.2023
2019-03-01 0:00:00,20.2314,27.8061,31.8175,34.6335,20.0535,16.0627,18.2883,40.3567,51.8924,29.279
2019-03-04 0:00:00,20.2249,27.7894,31.7669,34.5649,20.0065,16.0664,18.3226,40.2007,51.4525,29.2958
2019-03-05 0:00:00,20.2192,27.7771,31.7351,34.5225,19.978,16.0676,18.3252,40.1568,51.2714,29.2395
2019-03-06 0:00:00,20.2001,27.7378,31.6362,34.3915,19.8897,16.0688,18.35,39.8964,50.489,29.2467
2019-03-07 0:00:00,20.1641,27.6645,31.4569,34.1576,19.7347,16.07,18.401,39.5806,50.1115,28.8526
2019-03-08 0:00:00,20.1542,27.6438,31.4049,34.0895,19.6895,16.0712,18.4127,39.5004,50.0195,28.7214
2019-03-11 0:00:00,20.213,27.7568,31.6628,34.4227,19.9087,16.0749,18.4032,40.0798,50.8317,29.0374
2019-03-12 0:00:00,20.2264,27.7808,31.7114,34.4842,19.9481,16.0761,18.4492,40.2001,50.9246,29.073
